date,item,kolkata,delhi,mumbai,chennai
2025-10-22,CHANNELS 150X75 MM,53380,54750,54860,55410
2025-10-22,PLATES 10 MM,55680,56530,57850,59730
2025-10-22,PLATES 25 MM,58180,59590,61210,61500
2025-11-06,TMT 10 MM,48640,53710,51990,55190
2025-11-06,ANGLES 75X75X6 MM,51980,54510,53390,53620
2025-11-06,CHANNELS 150X75 MM,54260,54790,54550,54480
2025-11-06,PLATES 10 MM,53580,56430,57220,59470
2025-11-06,PLATES 25 MM,56280,60300,60100,81680
2025-11-19,TMT 10 MM,49440,54100,52360,55190
2025-11-19,TMT 25 MM,49600,53680,52010,54810
2025-11-19,ANGLES 75X75X6 MM,51630,54590,53440,53540
2025-11-19,CHANNELS 150X75 MM,51580,55540,54520,54400
2025-11-19,PLATES 10 MM,53680,56010,55680,58210
2025-11-19,PLATES 25 MM,55980,59560,59810,61500
2025-12-01,TMT 10 MM,50000,56160,52700,53530
2025-12-01,PLATES 10 MM,53740,55580,55090,57260
2025-12-01,PLATES 25 MM,56800,58530,58630,60670
2025-12-19,TMT 10 MM,49250,56090,52700,53530
2025-12-19,TMT 25 MM,49310,54910,52170,82840
2025-12-19,ANGLES 75X75X6 MM,51820,55860,53650,53110
2025-12-19,CHANNELS 150X75 MM,51370,55300,54300,54400
2025-12-19,PLATES 10 MM,53400,55110,84790,57260
2025-12-19,PLATES 25 MM,58380,58300,88630,80670
2026-01-20,TMT 10 MM,52310,61860,61020,58660
2026-01-20,TMT 25 MM,52010,39990,60320,58070
2026-01-20,CHANNELS 150X75 MM,55470,59560,61920,60830
2026-03-20,TMT 25 MM,57150,64550,64830,62480
2026-03-20,ANGLES 75X75X6 MM,59350,61290,62330,61960
2026-03-20,CHANNELS 150X75 MM,58960,61510,62620,62710
2026-03-20,PLATES 10 MM,59740,64850,66890,65870
2026-03-20,PLATES 25 MM,58970,68270,70430,67050
